lokal,naslov,city,cena,cena_old,doplacilo,doplacilo_old,lat,lon,posid,detailslink,sort-group,cena_diff,doplacilo_diff,cena_diff_percent,doplacilo_diff_percent
KITAJSKO MESTO,Slamnikarjeva 1,DOMŽALE,7.9,5.9,4.4,3.08,46.1382014,14.596938,1838,/sl/restaurant/Details/1838,75,2.0,1.3200000000000003,33.89830508474576,42.85714285714287
KITAJSKO MESTO - DOSTAVA,Slamnikarjeva 1,DOMŽALE,8.9,6.9,5.4,4.08,46.1382014,14.596938,2772,/sl/restaurant/Details/2772,75,2.0,1.3200000000000003,28.985507246376812,32.352941176470594
KLOPČIČ,Litostrojska cesta 57,LJUBLJANA,6.3,5.5,2.8,2.68,46.0816138,14.4923584,1422,/sl/restaurant/Details/1422,75,0.7999999999999998,0.11999999999999966,14.545454545454541,4.477611940298495
,,,,5.5,,2.68,,,1421,,,,,,
KLUBAR GASTROPUB,Slovenski trg 7,KRANJ,8.0,6.0,4.5,3.18,46.2428879,14.3559806,3140,/sl/restaurant/Details/3140,75,2.0,1.3199999999999998,33.33333333333333,41.50943396226414
KOA BISTRO & BAR,Slovenska cesta 1,LJUBLJANA,9.0,6.99,5.5,4.17,46.0469188,14.5009328,3063,/sl/restaurant/Details/3063,75,2.01,1.33,28.75536480686695,31.894484412470025
KOZLOVNA POŠTNA,Poštna ulica 12,MARIBOR,9.0,7.0,5.5,4.18,46.5585966,15.6449785,3121,/sl/restaurant/Details/3121,75,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
KRATOCHWILL,Nemčavci 1d,MURSKA SOBOTA,7.0,6.0,3.5,3.18,46.6746467,16.1750238,1110,/sl/restaurant/Details/1110,75,1.0,0.31999999999999984,16.666666666666664,10.062893081761
LA CANTINA,Ulica Staneta Žagarja 2b,RADOVLJICA,7.2,6.2,3.7,3.38,46.3485144,14.1696392,2601,/sl/restaurant/Details/2601,76,1.0,0.3200000000000003,16.129032258064516,9.467455621301783
LABIRINT,Čevljarska 9 ,KOPER/CAPODISTRIA,8.4,5.79,4.9,2.97,45.547547,13.7297693,2203,/sl/restaurant/Details/2203,76,2.6100000000000003,1.9300000000000002,45.07772020725389,64.98316498316498
,,,,3.69,,0.87,,,3059,,,,,,
LETEČA ZVEZDA,Kvedrova cesta 5a,LJUBLJANA,7.5,6.5,4.0,3.68,46.070312,14.541963,2844,/sl/restaurant/Details/2844,76,1.0,0.31999999999999984,15.384615384615385,8.69565217391304
LIPCA - INDEKS,Borštnikov trg 3a,LJUBLJANA,3.5,2.82,0.0,0.0,46.047896,14.4987744,2726,/sl/restaurant/Details/2726,76,0.6800000000000002,0.0,24.11347517730497,
LONDON STREET FOOD,Stossmayerjeva ulica 26,MARIBOR,8.0,6.38,4.5,3.56,46.5607379,15.6423883,2640,/sl/restaurant/Details/2640,76,1.62,0.94,25.39184952978057,26.40449438202247
LOVING HUT ,Gosposvetska cesta 43a,MARIBOR,7.8,6.39,4.3,3.57,46.561508,15.63406,2331,/sl/restaurant/Details/2331,76,1.4100000000000001,0.73,22.06572769953052,20.448179271708682
,,,,3.19,,0.37,,,3076,,,,,,
,,,,4.99,,2.17,,,2975,,,,,,
